('000000000', '000000000'):3376.622585377933
('000000001', '000000010'):8366.272033333282
('000000001', '000000100'):8366.272033333282
('000000001', '000001000'):8366.272033333282
('000000001', '000010000'):8366.272033333282
('000000001', '000100000'):8366.272033333282
('000000001', '001000000'):8366.272033333282
('000000001', '010000000'):9410.412131250016
('000000001', '100000000'):9412.05603750001
('000000010', '000000001'):8366.272033333282
('000000010', '000000100'):8366.272033333282
('000000010', '000001000'):8366.272033333282
('000000010', '000010000'):8366.272033333282
('000000010', '000100000'):8366.272033333282
('000000010', '001000000'):8366.272033333282
('000000010', '010000000'):9410.412131250016
('000000010', '100000000'):9412.05603750001
('000000011', '000001100'):963.141111111112
('000000011', '000010100'):963.141111111112
('000000011', '000011000'):963.141111111112
('000000011', '000100100'):963.141111111112
('000000011', '000101000'):963.141111111112
('000000011', '000110000'):963.141111111112
('000000011', '001000100'):963.141111111112
('000000011', '001001000'):963.141111111112
('000000011', '001010000'):963.141111111112
('000000011', '001100000'):963.141111111112
('000000011', '010000100'):1083.5337499999964
('000000011', '010001000'):1083.5337499999964
('000000011', '010010000'):1083.5337499999964
('000000011', '010100000'):1083.5337499999964
('000000011', '011000000'):1083.5337499999964
('000000011', '100000100'):1083.2206249999983
('000000011', '100001000'):1083.2206249999983
('000000011', '100010000'):1083.2206249999983
('000000011', '100100000'):1083.2206249999983
('000000011', '101000000'):1083.2206249999983
('000000011', '110000000'):1182.0780476190357
('000000100', '000000001'):8366.272033333282
('000000100', '000000010'):8366.272033333282
('000000100', '000001000'):8366.272033333282
('000000100', '000010000'):8366.272033333282
('000000100', '000100000'):8366.272033333282
('000000100', '001000000'):8366.272033333282
('000000100', '010000000'):9410.412131250016
('000000100', '100000000'):9412.05603750001
('000000101', '000001010'):963.141111111112
('000000101', '000010010'):963.141111111112
('000000101', '000011000'):963.141111111112
('000000101', '000100010'):963.141111111112
('000000101', '000101000'):963.141111111112
('000000101', '000110000'):963.141111111112
('000000101', '001000010'):963.141111111112
('000000101', '001001000'):963.141111111112
('000000101', '001010000'):963.141111111112
('000000101', '001100000'):963.141111111112
('000000101', '010000010'):1083.5337499999964
('000000101', '010001000'):1083.5337499999964
('000000101', '010010000'):1083.5337499999964
('000000101', '010100000'):1083.5337499999964
('000000101', '011000000'):1083.5337499999964
('000000101', '100000010'):1083.2206249999983
('000000101', '100001000'):1083.2206249999983
('000000101', '100010000'):1083.2206249999983
('000000101', '100100000'):1083.2206249999983
('000000101', '101000000'):1083.2206249999983
('000000101', '110000000'):1182.0780476190357
('000000110', '000001001'):963.141111111112
('000000110', '000010001'):963.141111111112
('000000110', '000011000'):963.141111111112
('000000110', '000100001'):963.141111111112
('000000110', '000101000'):963.141111111112
('000000110', '000110000'):963.141111111112
('000000110', '001000001'):963.141111111112
('000000110', '001001000'):963.141111111112
('000000110', '001010000'):963.141111111112
('000000110', '001100000'):963.141111111112
('000000110', '010000001'):1083.5337499999964
('000000110', '010001000'):1083.5337499999964
('000000110', '010010000'):1083.5337499999964
('000000110', '010100000'):1083.5337499999964
('000000110', '011000000'):1083.5337499999964
('000000110', '100000001'):1083.2206249999983
('000000110', '100001000'):1083.2206249999983
('000000110', '100010000'):1083.2206249999983
('000000110', '100100000'):1083.2206249999983
('000000110', '101000000'):1083.2206249999983
('000000110', '110000000'):1182.0780476190357
('000000111', '000111000'):30.978444444444392
('000000111', '001011000'):30.978444444444392
('000000111', '001101000'):31.53511111111107
('000000111', '001110000'):30.978444444444392
('000000111', '010011000'):34.8507499999999
('000000111', '010101000'):35.476999999999904
('000000111', '010110000'):34.8507499999999
('000000111', '011001000'):35.476999999999904
('000000111', '011010000'):34.85074999999989
('000000111', '011100000'):35.476999999999904
('000000111', '100011000'):34.8507499999999
('000000111', '100101000'):35.476999999999904
('000000111', '100110000'):34.8507499999999
('000000111', '101001000'):35.476999999999904
('000000111', '101010000'):34.22449999999989
('000000111', '101100000'):35.476999999999904
('000000111', '110001000'):40.54514285714266
('000000111', '110010000'):39.82942857142836
('000000111', '110100000'):40.54514285714266
('000000111', '111000000'):40.54514285714266
('000001000', '000000001'):8366.272033333282
('000001000', '000000010'):8366.272033333282
('000001000', '000000100'):8366.272033333282
('000001000', '000010000'):8366.272033333282
('000001000', '000100000'):8366.272033333282
('000001000', '001000000'):8366.272033333282
('000001000', '010000000'):9410.412131250016
('000001000', '100000000'):9412.05603750001
('000001001', '000000110'):963.141111111112
('000001001', '000010010'):963.141111111112
('000001001', '000010100'):963.141111111112
('000001001', '000100010'):963.141111111112
('000001001', '000100100'):963.141111111112
('000001001', '000110000'):963.141111111112
('000001001', '001000010'):963.141111111112
('000001001', '001000100'):963.141111111112
('000001001', '001010000'):963.141111111112
('000001001', '001100000'):963.141111111112
('000001001', '010000010'):1083.5337499999964
('000001001', '010000100'):1083.5337499999964
('000001001', '010010000'):1083.5337499999964
('000001001', '010100000'):1083.5337499999964
('000001001', '011000000'):1083.5337499999964
('000001001', '100000010'):1083.2206249999983
('000001001', '100000100'):1083.2206249999983
('000001001', '100010000'):1083.2206249999983
('000001001', '100100000'):1083.2206249999983
('000001001', '101000000'):1083.2206249999983
('000001001', '110000000'):1182.0780476190357
('000001010', '000000101'):963.141111111112
('000001010', '000010001'):963.141111111112
('000001010', '000010100'):963.141111111112
('000001010', '000100001'):963.141111111112
('000001010', '000100100'):963.141111111112
('000001010', '000110000'):963.141111111112
('000001010', '001000001'):963.141111111112
('000001010', '001000100'):963.141111111112
