('000000000', '000000000'): 3
('000000010', '000000001'): 8
('000000100', '000000001'): 8
('000001000', '000000001'): 7
('000010000', '000000001'): 8
('000100000', '000000001'): 8
('001000000', '000000001'): 5
('010000000', '000000001'): 2
('100000000', '000000001'): 7
('000000001', '000000010'): 8
('000000100', '000000010'): 7
('000001000', '000000010'): 8
('000010000', '000000010'): 7
('000100000', '000000010'): 7
('001000000', '000000010'): 7
('010000000', '000000010'): 6
('100000000', '000000010'): 6
('000001100', '000000011'): 8
('000010100', '000000011'): 8
('000011000', '000000011'): 8
('000100100', '000000011'): 8
('000101000', '000000011'): 8
('000110000', '000000011'): 8
('001000100', '000000011'): 8
('001001000', '000000011'): 8
('001010000', '000000011'): 8
('001100000', '000000011'): 8
('010000100', '000000011'): 8
('010001000', '000000011'): 6
('010010000', '000000011'): 6
('010100000', '000000011'): 8
('011000000', '000000011'): 8
('100000100', '000000011'): 7
('100001000', '000000011'): 7
('100010000', '000000011'): 7
('100100000', '000000011'): 7
('101000000', '000000011'): 7
('110000000', '000000011'): 5
('000000001', '000000100'): 7
('000000010', '000000100'): 8
('000001000', '000000100'): 8
('000010000', '000000100'): 8
('000100000', '000000100'): 7
('001000000', '000000100'): 7
('010000000', '000000100'): 1
('100000000', '000000100'): 6
('000001010', '000000101'): 8
('000010010', '000000101'): 8
('000011000', '000000101'): 8
('000100010', '000000101'): 8
('000101000', '000000101'): 8
('000110000', '000000101'): 8
('001000010', '000000101'): 8
('001001000', '000000101'): 8
('001010000', '000000101'): 8
('001100000', '000000101'): 8
('010000010', '000000101'): 8
('010001000', '000000101'): 6
('010010000', '000000101'): 8
('010100000', '000000101'): 6
('011000000', '000000101'): 5
('100000010', '000000101'): 7
('100001000', '000000101'): 7
('100010000', '000000101'): 7
('100100000', '000000101'): 7
('101000000', '000000101'): 7
('110000000', '000000101'): 5
('000001001', '000000110'): 8
('000010001', '000000110'): 8
('000011000', '000000110'): 8
('000100001', '000000110'): 8
('000101000', '000000110'): 8
('000110000', '000000110'): 8
('001000001', '000000110'): 8
('001001000', '000000110'): 8
